supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,State
 Brand Energy andInfrastructureServices , Ed Hester ,"1000 N. Post Oak Ste 285, Houston, TX, 77055",713-681-9360,None,info@petropages.com,Construction,Texas
 BrandenburgIndustrial SerivesCo , John O'Keif ,"2625 South Loomis Street, Chicago, IL, 60608",312-326-5800,ibrandenburg.com,okejoh@brandenburg.info,Construction,Illinois
 BrandywineAssociates , Edward Stein ,"321 Walnut St. Suite 442, Newtonville, Massachusetts, 02460-1927",617-928-1791,staticmixerdispenser.com,estein@brandywineassociates.com,Construction,Massachusetts
 Brentson TechnicalServices Inc. , Paul J Desrochers ,"618 Bristol Street, Sarnia, Ontario, N7S 5E1",519-337-5027,brentson.com,brentson@ebtech.net,Construction, 
 Bronson & BrattonInc. , John Grenier ,"220 Shore Drive, Burr Ridge, IL, 60521",630-986-1815,brons.com,jng@brons.com,Construction,Illinois
 BRYAN DISTRIBUTORS , SONNY PETERSON ,"5100 110TH AVE NORTH, CLEARWATER, FL, 33760",888-335-8875,None,BRYANALPINE@AOL.COM,Construction,Florida
" BSC - BROMBERG,STAUDT & CO. ", Juan Borrero-Martinez ,"Burchardstrasse 17, Hamburg, Hamburg, 20095",+49(0)-40-327051,bromberg-staudt.com,borrero@brombergstaudt.com,Construction, 
 BuffaloTechnologiesCorporation , Ron Klubek ,"750 E. Ferry Street, Buffalo, NY, 14240",716-895-2100,btcorp.com,rklubek@btcorp.com,Construction,Newyork
 BULLGANG TOOLS LLC , James C. Stephens ,"506 E. Commerce St. Brenham, TX 77833",979.830.9064,bullgangtools.com,j.stephens@primaryindustrial.com,Construction, 
 Bullseye ForkliftSales , Roberta Bullair ,"13317 Aldine Westfield, Houston, TX, 77039",281-442-4929,None,info@petropages.com,Construction,Texas
 Burner CombustionSystems , Chris Robison ,"21614 FM 2100 Rd Crosby, Texas 77532-3495",281.324.3200,burnercombustion.com,crobison@burnercombustion.com,Construction, 
" Burnham InsulationSales, Inc. ", Patty Yourison ,"3229 Babcock Blvd., Pittsburgh, PA, 15237",412-366-6622,None,info@petropages.com,Construction,Pennsylvania
 Burns & McDonnell , John Lionberger ,"1776 Yorktown, Houston, TX, 77056",713-622-0227,burnsmcd.com,jlion@burnsmcd.com,Construction,Texas
 Business SecurityAB , Jonas Bjrk ,"P.O. Box 11065, Lund, Skne, 22011",-386050,businessecurity.com,jonas.bjork@businessecurity.com,Construction, 
 C B & I , Kathleen Wehr ,"One CB&I; Plaza, 2103 Research Forest Drive, The Woodlands, TX, 77380",832-513-1209,cbi.com,turnarounds@CBI.com,Construction,Texas
 C.I.C. RomorakeS.A De C.V. , Jennie YI ,"302 Cedro,, Col Framboyanes, Cadereyta Jlm., Nuevo Leon, 67450",52-828-4-3265,None,mexport@cad.inteli.net.mx,Construction, 
 CaprockCommunications , Sales  ,"4400 S. Sam Houston Parkway E., Houston, TX, 77048",888-482-0289,caprock.com,sales@cprk.com,Construction,Texas
" Carey Consulting,Inc. ", H.B. Carey ,"2012 Greensburg Rd., Edmonton, KY, 42129",270-432-5449,careylift.com,hb@careylift.com,Construction,Kentucky
" CarolinaIndustrial Tools,Inc. ", Gordon Haymond ,"10825 Texland Blvd., Charlotte, NC, 28273",704-588-4490,citools.com,CITools@CITools.com,Construction,North Carolina
 Carrier RentalSystems , Nick Sickmen ,"#40 Southbelt Industrial, Houston, TX, 77047",713-413-4200,hvacportablesystems.com,nick.sickmen@carrier.utc.com,Construction,Texas
 Carson BuildersSupply , Jim Beattie ,"P.O. Box 1250, 961 Wind River Road, Carson, WA, 98610",509-427-8320,bigstep.com,carsonbuilders@skamania.net,Construction,Washington
 CATSI-Collins &Assoc.Tech Serv.Inc , David Westhause  (Houston) ,"7991 Ohio River Road, Wheelersburg, OH, 45694",(713) 465-0407,catsi.com,dww911@flash.net,Construction,Ohio
 CEI ElectricalService & Testing , William Hendrix ,"2955 W. Clarendon Ave, Phoenix, AZ, 85017",602-272-6161,cei-electric.com,cei@cybervault.com,Construction, 
 CemtechInternational , Richard Patterson ,"9764 Sassafras Street, Hillsboro, MO, 63050",636-789-2803,cemtech-international.com,rpatterson@cemtech-international.com,Construction, 
 ChallengerServices , Andy Solomon ,"5103 S. Sheridan #743, Tulsa, OK, 74145",918-384-0055,challengersvcs.com,challengersvcs@sbcglobal.net,Construction,Oklahoma
 ChampionCommunicationServices , Ken Dornak ,"2408 Timberloch Place #A1, The Woodlands, TX, 77380",800-614-6500,champcom.com,dornakk@champcom.com,Construction,Texas
 Chandler EquipmentSales , Tim Bland ,"1124 S. Center, Mesa, AZ, 85210",480-964-1871,cestools.com,tim@cestools.com,Construction, 
" Channel Industrial& Marine, Inc. ", Steven Hooper ,"Box 2476, Alvin, Tx, 77512-2476",281-388-1924,None,stevehooper@prodigy.com,Construction,Texas
 Channel Supplies , David Jump ,"P.O. Box 291385, Kerrville, TX, 78029",830-792-5538,channelsupplies.com,Sales@channelsupplies.com,Construction,Texas
 ChemithonConstructorsL.L.C. , Herb Lightle ,"1111 80th Street S.W., Suite 150, Everett, WA, 98203",425-423-9594,chemithon.com,hlightle@chemithon.com,Construction,Washington
 Chempro Expertise(P) Ltd. , V.G. Nambiar ,"JP House, Sakinaka, Mumbai, 400 072",-8508244,chemproindia.com,chempro@bom2.vsnl.net.in,Construction, 
 Cherokee Crc LLC , Jonathan Dale ,"916 W 23rd St, Tulsa, OK, 74107",918-582-9110,cherokee-crc.com,info@cherokee-crc.com,Construction,Oklahoma
 Cherry Demolition , Rick Cherry ,"6131 Selinsky, Houston, TX, 77048",713-987-0000,cherrydemolition.com,RickC@cherrydemolition.com,Construction,Texas
 Chinook Arc Ltd. , Hans Hiltbrand ,"15002-13th Avenue Frank Industrial Park, Crowsnest Pass, Alberta, T0K 0E0",403-564-4877,chinookarc.com,chinoarc@telusplanet.net,Construction, 
" City CarbonicSales & ServiceCo., Inc. ", Louis Morgan ,"406 S.W. 4th Street, Oklahoma City, OK, 73109",800-286-4291,flash.net,citycarb@flash.net,Construction,Oklahoma
" Clean CoastTechnologies, Inc. ", Paul Boswell ,"2843 Westside Drive, Bldg #14C, Pasadena, TX, 77502",713-378-0000,cleancoasttech.com,info@cleancoasttech.com,Construction,Texas
 Cleanuptexas.comLP , Terry Smith ,"1610 Sheldon, OUT OF BUSSINESS, Channelview, TX, 77530",281-457-6494,cleanuptexas.com,terry@cleanuptexas.com,Construction,Texas
" Clear Span Tents,Inc. ", Cole Freestone ,"4275 Arcata Way, Las Vegas, NV, 89030",888-241-5047,clearspantent.com,clearspantent@aol.com,Construction,Nevada
 ClearwaterTrucking Company , Butch Martin ,"5104-50th Avenue, Rocky Mountain House, Alberta, TOM01T0",403-845-3131,cybervillagemall.com,ctc-canada@cybervillagemall.com,Construction, 
" Climax PortableMachine Tools,Inc. ", Mark Thorne ,"2712 E. 2nd. Street, Newberg, OR, 97132",503-538-2185,cpmt.com,mthorne@cpmt.com,Construction,Oregon
 Clipper EnergySupply Co. , Jeffrey Casey ,"3355 West Alabama Ste. 920, Houston, TX, 77098",713-965-0006,clipperenergy.com,jcasey@clipperenergy.com,Construction,Texas
 CML USA INC. , Scott Tunis ,"10227 General Dr., Orlando, FL, 32824",407-875-1122,ercolina-usa.com,info@ercolina-usa.com,Construction,Florida
" Coastal HydraulicCranes, Inc. ", T. J. Joiner - President ,"PO Box 41313, 11500 N Houston-Rosslyn Road (77088), Houston, TX, 77241-1313",281-448-8998,coastalcranes.com,tjoiner@wt.net,Construction,Texas
 Coastal TrainingTechnologies Corp. , Katy Burt ,"3083 Brickhouse Court, Virginia Beach, VA, 23452",757-498-9014,coastal.com,sales@coastal.com,Construction,Virginia
 CoatingsApplication &Waterproofing Co. , James Harris ,"P.O.Box 1650, Channelview, TX, 77530",713-527-8807,cawco.com,info@petropages.com,Construction,Texas
 Coburn's WholesaleDistributors , Jim Fuller ,"P.O. Box 2177, Beaumont, TX, 77704",979-828-6363,coburns.com,info@petropages.com,Construction,Texas
 Coir Lanka , Suranga ,via brigata regina,392.101.3517,coirlanka.com,info@coirlanka.com,Construction, 
 Coir Lanka , Suranga ,via brigata regina,392.101.3517,coirlanka.com,info@coirlanka.com,Construction, 
 Coir Lanka , Suranga ,via brigata regina,392.101.3517,coirlanka.com,info@coirlanka.com,Construction, 
 Coir Lanka , Suranga ,via brigata regina,392.101.3517,coirlanka.com,info@coirlanka.com,Construction, 
 Coir Lanka , Suranga ,via brigata regina,392.101.3517,coirlanka.com,info@coirlanka.com,Construction, 
 Cole-ParmerInstrument Company , Mary Blase ,"625 East Bunker Court, MS 18, Vernon Hills, IL, 60061-1844",847-327-5860,coleparmer.com,info@coleparmer.com,Construction,Illinois
" Colt AtlanticServices, Inc. ", Ian Barford ,"1845  South Lee Court Suite C, Buford, GA, 30518",770-831-8135,coltonline.com,ian@coltonline.com,Construction,Georgia
 Colt ConstructionCompany , Rick Gray ,"3810 Bakerview Spur, Bellingham, WA, 98226",360-676-4905,coltconstruction.com,rgray@coltconstruction.com,Construction,Washington
" Columbia ElevatorCo., Inc. ", ROD RIPKE ,"7125 Columbia Gateway Drive, Suite #345, Columbia, MD, 21046",410-872-3710,columbiaelevator.com,rod@columbiaelevator.com,Construction, 
 Columbus McKinnonCorp , Rob Beightol ,"140 Audubon Parkway, Amherst, NY, 14228",800-888-0985,cmworks.com,rob.beightol@cmworks.com,Construction,Newyork
 CommunicationsProject ManagementCo. , Frank Clancy ,"12227 Foxhill Lane, Bowie, Maryland, 20715",301-442-3995,cpmonline.com,CPMclancy@aol.com,Construction, 
" ComprehensiveIndustrialEquipment, Inc. ", Rusty Rush ,"12807 Royal Drive, Suite 105, Stafford, TX, 77477",281-494-0022,ciecompany.com,ciecompany@msn.com,Construction,Texas
" Conco Systems,Inc. ", George Saxon Jr. ,"530 Jones Street, Verona, PA, 15147",412-828-1166,concosystems.com,info@petropages.com,Construction,Pennsylvania
 CONSTRUCCIONESROBICA , Jorge Riera ,"P.O. Box 25, Anaco, Anzoategui, 6003",58-282-4252993,robica.com,rieraj@cantv.net,Construction, 
 ContactDistributors , Andrew Chopp ,"16425-130 Avenue, Edmonton, Alberta, T5V-1K5",780-447-1888,None,altasand@telusplanet.net,Construction, 
 ContechConstructionProducts Inc. , R. W.  ,"14505 Torrey Chase #108, Houston, TX, 77014",281/893.6012,contech-cpi.com,ccashatt@contech-cpi.com,Construction,Texas
 Contech ControlServices , Scott Schroeder ,"2801 Sens Road, La Porte, TX, 77571",281-471-8010,contechnet.com,sscot@contechnet.com,Construction,Texas
 ContinentalElectric , Dave Merces ,"325 Ferry Street Newark, Newark, NJ, 7105",973-344-4050,continentalelectric.com,webmaster@iescoinc.com,Construction,New Jersy
 ContinentalIndustrial Supply , Paul Boyer ,"& Service Company, Inc., 83 Galaxy Blvd., Unit #13, Toronto, Ontario, M9W5X6",416-675-7629,cissco.com,paul@cissco.com,Construction, 
 Contractors ChoiceInc. , Sales Department ,"2070 Schappelle Lane, Cincinnati, OH, 45240",800-670-8665,contractorschoiceinc.com,mikehuhn@contractorschoiceinc.com,Construction,Ohio
 Control & SafetySystems Services(c3s) , Andy Popple ,"Glenury House, Eaglescliffe, Stockton on Tees, Teesside, TS16 0AB",0044-1642-357925,c3s-group.com,enquiries@c3s-group.com,Construction, 
" Control Center,Inc. ", Scott Turner ,"300 Sunport Lane, Orlando, FL, 32809",407-304-5200,controlcenter.net,stuner@controlcenter.net,Construction,Florida
" Corralloy, Inc. ", Brian Briscoe ,"5610 Brystone Drive, Houston, TX, 77041",713-856-9454,corralloy.com,bbriscoe@corralloy.com,Construction,Texas
" Corrpro Companies,Inc. ", James Lary ,"1090 Enterprise Drive, Medina, OH, 44256",330-723-5082,corrpro.com,jlary@corrpro.com,Construction,Ohio
 Crane Inspection &CertificationBureau , J.C.  ,"Airport Business Center, P.O. Box 621388, Orlando, FL, 32862",407-277-0884,cicb.com,info@cicb.com,Construction,Florida
" Crane SafetyAssociates ofAmerica, Inc. ", Harry Rose ,"2167 Sadler Road, Ste.A, Fernandina Beach, Florida, 32034",800-356-2212,None,ROSECSAA@NET-MAGIC.NET,Construction,Florida
 CrenshawEnterprises , Colby Crenshaw ,"1411 Preston Avenue, Pasadena, TX, 77503",713-472-5222,crenshawenterprises.com,colby.crenshaw@modernusa.com,Construction,Texas
 Crown Enterprises , A.J. Angelloz ,"52410 Clark Road, White Castle, LA, 70788",225-545-4143,crownenterprises.com,A.Angelloz@cemail.cc,Construction,Louisiana
 Customized WaterTreatment Services , Theresa Schultze ,"6210 - 320th Street North, Hillsdale, IL, 61257",(309) 658-2132,None,tms@qconline.com,Construction,Illinois
 CV. SARANASEISINDO UTAMA , THEO KOYONGIAN ,"Ciputat Indah Permai Blok E-06. Jl. Ir. H. Juanda No. 50, Ciputat, Jakarta Selatan, 15419",62-21-7562703,None,sarana@pacific.net.id,Construction, 
 Cypress EquipmentServices Inc. , Michael Peyton ,"6637 Airline Hwy, Baton Rouge, LA, 70805",800-325-6140,cypressbr.com,mpeyton@cypressbr.com,Construction,Louisiana
 D&B, InternationalEquip. Rental &Sales , Angus Davis ,"6950 W. Sam Houston Pkwy. N., Houston, TX, 77041",713-937-8484,manlift.com,hireach@ix.netcom.com, 
 D.L. RICCICORPORATION , Kathleen Baker ,"1102 Hall Court, Deer Park, TX, 77536",800- 895-3849,hydratight.com,houston@hydratight.com,Construction,Texas
 Dacapa Mains Crane& Riggings , Craig Mains ,"4205 78th Ave., Edmonton, Alberta, T6B 2N3",780-462-3995,None,info@petropages.com,Construction, 
 Danmar IndustriesInc , Dennis Depauw ,"2303 Oil Center Court, Houston, TX, 77073",281-230-1000,None,info@petropages.com,Construction,Texas
 DANWAY LLC , Sudeep Sangam ,"P.O. Box 50048, Dubai, 50048",-3472733,danwayllc.com,sudeep@danwayllc.com,Construction, 
" DavidsonCommunications,Inc. ", Kevin Sluder ,"401 Allen-Genoa Road, Houston, TX, 77017",713-473-8888,davidsoncom.com,jackp@davidsoncom.com,Construction,Texas
 Day & ZimmermannECM , ,"1500 Spring Garden Street, Philadelphia, PA, 19130",215-299-8000,dayzim.com,info@petropages.com,Construction,Pennsylvania
 DayachandEngineeringIndustries (P) Ltd , Naveen Jain ,"F-2 Indl. Estate, Begrajpur, Muzaffarnagar, U.P., 251203",-53636,fisme.org,daya@del6.vsnl.net.in,Construction, 
 DBG Services , David Grissom ,"2331 Texas Ave, Texas City, TX, 77592",409- 965-8285,DBGservices.com,david@DBGservices.com,Construction,Texas
 Deeco Metals , Desmond Sinclair ,"600 Bloy Street, Hillside, NJ, 7205",908-688-0333,deeco.net,des@deeco.net,Construction,New Jersy
 Deep Down Inc. , Steve Pahls ,"8827 W. Sam Houston Pkwy, N., Suite 100, Houston, TX, 77",281-517-5000,deepdowninc.com,info@deepdowninc.com,Construction,Texas
 Deep South Crane &Rigging , Bryan Landry ,"15324 Airline Hwy, Baton Rouge, LA, 70817",504-753-4371,None,info@petropages.com,Construction,Louisiana
 Deer ParkConstruction , Chris Gentry ,"PO Box 128, Deer Park, TX, 77536",281-839-0020,deerparkconstruction.com,cgentry@deerparkconstruction.com,Construction,Texas
 Dematic , Sales ,"507 Plymouth Ave. NE Grand Rapids, MI 49505",877.725.7500,dematic.com,info@petropages.com,Construction, 
 Derrick ConcreteCutting &Construction , Don Moroz ,"7039 - 103rd St., Edmonton, Alberta, T6H 2J1",780-436-7934,derrickconcrete.com,derrick@derrickconcrete.com,Construction, 
 DialogicCommunicationsCorporation , Virginia Roberson ,"381 Riverside Drive, Suite 300, Franklin, TN, 37064",615-790-2882,dccusa.com,lyoung@dccusa.com,Construction,Tennessee
" Diamond RefractoryServices, Inc. ", Gary McGregor ,"8431 Mosley, Houston, TX, 77075",713-378-9200,diamondrefractory.com,gmcgregor@diamondrefractory.com,Construction,Texas
 Direct Energy , Bill Miller ,"12 Greenway Plaza, Suite 600, Houston, TX, 77046",713-877-3688,directenergy.com,william.miller@directenergy.com,Construction,Texas
 Direct SafetyCompany , Sales & Marketing ,"P.O. Box 27648, Tempe, AZ, 85285-7648",800-528-7405,None,info@petropages.com,Construction, 
" Discount GaugingSupply, Inc. ", Chris Tucker ,"2304 Hughes Road, Dickinson, TX, 77539",281-337-0801,discountgaugingsupply.com,dgshouston@aol.com,Construction,Texas
" DiversifiedProductIndustries, LTD. ", Jack C. Pryor ,"Cal Trans Certification No. C.T.002906, 3860 Crenshaw Blvd.. Suite #219, Los Angeles, CA, 90008",213-296-1040,None,maxine@mediaone.com,Construction,California
 Dixie CullenInterests Inc , Catherine James ,"7600 S. Santa Fe, Bldg B, Houston, TX, 77061",713-747-1101,dixiecullen.com,catherine@dixiecullen.com,Construction,Texas
 Dixie CullenInterests Inc. , Catherine James ,"4300 Dixie Drive, Houston, Texas, 77021",713-747-1101,dixiecullen.com,dcii@swbell.net,Construction,Texas
" DRES-COPartnership, Ltd. ", James Case ,"8500 Hansen Road, Houston, TX, 77075",281-458-4280,None,info@dres-co.com,Construction,Texas
 DresserEngineeringCompany , Connie Barton ,"1437 South Boulder Ave., Suite 1500, Tulsa, OK, 74119",918-382-2200,dressereng.com,sales@dressereng.com,Construction,Oklahoma
 Dresser-RandCompressionServices , ,"20602 E. 81st St., Broken Arrow, OK, 74014",918-251-8571,dresser-rand.com,info@dresser-rand.com,Construction,Oklahoma
 DRYCO , Denver Prater ,"5313 Gulf Freeway, La Marque, TX 77568",866.379.2600,drycogroup.com,denverp@drycogroup.com,Construction, 
 Dunn Equipment , John Gutirez ,"P.O. Box 836, LaPorte, TX, 77571",281-470-2387,None,info@petropages.com,Construction,Texas
 Dyna-Safe , Chris Kellum ,"P.O. Box 569, Mountain View, WY",307-782-6754,None,info@petropages.com,Construction, 
 Dyna-Tech Services , Larry McQueen ,"11200 Westheimer, Ste 602, Houston, TX, 77042",713-917-0413,None,info@petropages.com,Construction,Texas
 DynaglassReinforced PlasticPte Ltd. , Stephen Seow ,"No.2, Tuas Drive 2,, Singapore, Singapore., 638637",-8621736,com.sg,stephen.seow@dynaglass.com.sg,Construction, 
 DynamicTechnologies , Wayne Garrison ,"310 Townley Street, Winston-Salem, NC, 27103",336-287-5876,dynatechcorp.com,sales@dynamictechnologies.net,Construction,North Carolina
" E & K Equipment,Inc. ", Donna Appel ,"Rd #3, Box 142 A, State Route 8 South, Titusville, PA, 16354",814-827-9600,eandk.net,info@eandk.net,Construction,Pennsylvania
 E-PROEngineering/Environmental Consult , Douglas Gilman ,"41 Anthony Ave., Augusta, ME, 4330",207-621-7047,eproconsulting.com,dgilman@eproconsulting.com,Construction, 
" Eagle MaritimeConsultants, Inc. ", ,"1100 Nasa Road One, Ste. 211, Houston, TX, 77058",281-333-9880,eaglemaritime.com,houston@eaglemaritime.com,Construction,Texas
 Eaton Corporation , Tony Lavorgna ,"9919 Clinton Rd., Brooklyn, OH, 44144",216-523-4400,eaton.com,customer@etn.com,Construction,Ohio
" ECF, Inc. ", Keith Baalmann ,"1603 South 9th Street, St. Louis, MO, 63104",314.241.8500,ecfinc.net,kbaalmann@ecfinc.net,Construction, 
 Edcottd , Wafae Zaki ,"Maadi Street 286 no 19, Cairo, 2543",202-5161161,None,edcoltd@hotmail.com,Construction, 
 EDF EquipmentSales , Enrico Ferri ,"PO Box 691055, Orlando, FL, 32869",407-351-7017,edfequipmentsales.com,eferri@edfsales.com,Construction,Florida
 Edward J. KozelTruck & Equipment , Ed Kozel ,"1249 Layton Road, Clarks Summit, PA, 18411",570-587-2548,sellandbuyitnow.com,Mjk463@cs.com,Construction,Pennsylvania
" Electro-MechControls,Inc. ", Donald Vrudney ,"957 Tallmadge Rd., Brimfield, OH, 44240",330-673-4401,None,info@petropages.com,Construction,Ohio
 ElectrolinkCorporation , Mr. Amitabh Kejriwal ,"P-312, C.I.T. Road, Scheme - VI m,, Calcutta, W.B., 700 054",-3529524,None,link_terminals@usa.com,Construction, 
 Ellett IndustriesLtd. , R.D. (Bob) Gill ,"1575 Kingsway Ave., Port Coquitlam, B.C., Canada, V3C 4E5",604-941-8211,bc.ca,rgill@ellett.bc.ca,Construction,Canada
 EmmertInternational , Roy Emmert ,"11811 SE Highway 212, Clackamas, OR, 97015",503-655-7191x 227,emmertintl.com,remmert@emmertintl.com,Construction,Oregon
None,None,None,None,None,None,Construction, 
 Energy ServiceGroup , Eric Olafson ,"15019 N Brentwood, Channelview, TX, 77530",281-452-5335,energy-service.biz,energy@energy-service.biz,Construction,Texas
" EngineeringDynamics, Inc. ", Stuart McGregor ,"3925 South Kalamath Street, Englewood, CO, 80110",303-761-4367,engdynamics.com,stuart@engdynamics.com,Construction,Colorado
 EnsourceCorporation , Steve Thompson ,"P.O. Box 691005, Houston, TX, 77269",713-896-8309,ensourcecorp.com,ensource@ensourcecorp.com,Construction,Texas
 Enviro NoiseControl , Bob Storey ,"4315 - 72nd Avenue S.E., Calgary, Alberta, T2C 2G5",403-279-2764,environoisecontrol.com,storey@enctech.net,Construction, 
 Enviro Supply &Resources , Denise McQuay ,"3910 Fairmont Parkway #355, Pasadena, TX, 77504",713-378-4414,enviroresources.com,dmcquay_esr@yahoo.com,Construction,Texas
" Enviro-LogicalSolutions, Inc. ", Jeff Spicola ,"13135 North Dale Mabry Hwy, Tampa, FL, 33618",813-963-0811,enviro-logical.net,jspicola@enviro-logical.net,Construction,Florida
" EnvirogenTechnologies, Inc ", Mike Sauerwein ,"2070 Airways Blvd., Memphis, TN, 38114",877-312-8950 x387,envirogen.com,owens@envirogen.com,Construction,Tennessee
 ENVIRON FaciliyServicesCorporation , John Wojciak ,"10333 Richmond Avenue, Suite 910, Houston, TX, 77042",713-470-6546,environcorp.com,info@petropages.com,Construction,Texas
 EnvironmentalContainment Rings , Tinsley K. Jones ,"10802 Chevy Chase, Houston, Texas, 77042",713-781-8557,None,info@petropages.com,Construction,Texas
 EnvironmentalProtectionServices , Robert Haddox ,"7 Switchbud Place #C-192-256, The Woodlands, TX",281-362-0022,None,info@petropages.com,Construction, 
" EquipmentHeadquarters, Inc. ", Ron Palmer ,"3775 Millan, Beaumont, TX, 77706",409-833-4391,None,info@petropages.com,Construction,Texas
 Ergonomic Concepts , Peggy Pierce ,"P.O Box 941343, Houston, TX, 77094",281-496-2221,ergonomicconcepts.com,sales@ergonomicconcepts.com,Construction,Texas
 EROL GIRAYINS.TIC.LTD.STI. , Murat Giray ,"Alacam Sokak 10/2 Cankaya, Ankara, Ankara, 6690",++90 312 4283266,erolgiray.com,muratg@erolgiray.com,Construction, 
 ES&H, , Davian Ploger ,"P.O. Box 9217, Houma, LA, 70361",504-851-5350,esandh.com,davian@esandh.com, 
 ESCO Tool , Matt Brennan ,"75 October Hill Road, Suite A, Holliston, MA, 1746",800-343-6926,escotool.com,matt@escotool.com,Construction,Massachusetts
" Euro Aqua Drill,Inc. ", Chuck Driesbach ,"1300 FM 646 East, Dickinson, TX, 77539",281-337-0900,euroaquadrill.com,info@euroaquadrill.com,Construction,Texas
 Evco , Inda Wendt ,"20067 Hiawatha Street, Chatsworth, CA, 91311",818 832 5320,None,evco@gte.net,Construction,California
" Event RentalCommunications,Inc. ", Angie Reese ,"2422 S.E. Hawthorne, Portland, OR, 97214",503-232-9031,None,EVENTCOMM@aol.com,Construction,Oregon
 Excel Engineers , Rakesh Prajapati ,"60/A, Shri Krishna Center, Navarangpura, Ahmedabad, Gujarat, 380009",0-79-644-4661,None,excelrakesh@yahoo.co.uk,Construction, 
 Exothermic WeldingCo. Ltd , Wanchai Samlee ,"52/1 Soi Inthamara 3 Suthisan Rd., Samsennai Phayathai, BANGKOK, 10400",662-2711298,exothermicweld.com,info@exothermicweld.com,Construction,Oklahoma
 F & M Mafco , Tim Mckenna ,"9149 Dry Fork Road, Harrison, OH, 45030",800-333-2151,fmmafco.com,mckennat@fmmafco,Construction,Ohio
 F.W. GartnerThermal SprayingCo. , Nathan Henry ,"25 Southbelt Industrial Drive, Houston, TX, 77047",713-225-0010,fwgts.com,gcleveland@fwgts.com,Construction,Texas
 Fairmont SupplyCompany , James A. Ashby ,"5821 Southwest Freeway, Suite 322, Houston, TX, 77057",713-838-2912 x.12,fairmontsupply.com,info@petropages.com,Construction,Texas
 Falck AlfordSafety , Jason Shipp ,"207 Clendenning Road, Houma, LA, 70363",985-868-1860,alfordservices.com,jshipp@alfordservices.com,Construction,Louisiana
 Fastenal Company , Brad Mensendiek ,"1330 Foster Ave., Suite 500, Nashville, Tennessee, 37211",615-259-2911,fastenal.com,bradfastenal@msn.com,Construction,Tennessee
 Fastorq BoltingSystems , Ann Sturdevant ,"P.O. Box 60869 AMF, Houston, TX, 77205-0869",281-358-5698,fastorq.com,sales@fastorq.com,Construction,Texas
 Fawn - A WitternGroup Company , John Bruntz ,"8040 University Blvd., Des Moines, IA, 50325",800-548-1982,fawnvendors.com,agthompson@pdq.net,Construction, 
 FergusonEnterprises , Don Blankenship ,"12500 Jefferson Ave, Newport News, VA, 23602",757-874-7795,ferguson.com,info@petropages.com,Construction,Virginia
 Festive Tents , Bill Browning ,"10934 Hazelhurst, Houston, TX, 77043",713-468-3687,None,info@petropages.com,Construction,Texas
 Fiber One Inc. , Juan Fernandez ,"2317 Giselle Court, St Cloud, FL, 34772",407-892-2119,fiber1inc.com,jrfernandez@fiber1inc.com,Construction,Florida
 Fike Corporation , Nancy Graham ,"704 South 10th Street, P O Box 610, Blue Springs, MO, 64015",816-229-3405,fike.com,marketing@fike.com,Construction, 
 Fire EscapeSystems , Stan Ullman ,"13610 East Evans Avenue, Aurora, CO, 80014",303-695-0379,fireescapesystems.com,info@fireescapesystems.com,Construction,Colorado
" Fitchburg WeldingCo, Inc. ", Brian Morin ,"PO Box 467, Westminster, MA, 1473",978-874-2911,fitchweld.com,bmorin@fitchweld.com,Construction,Massachusetts
" Flexicon, Inc. ", Melissa Trelles ,"11800 Industriplex Boulevard,, Suite #2, Baton Rouge, Louisiana, 70809",504-752-9960,None,info@petropages.com,Construction,Louisiana
 Flexicore of Texas , Joe Phillips ,"P.O. Box 450049, Houston, TX, 77245",281-437-5700,flexicoreoftexas.com,joephillips@flexicoretx.com,Construction,Texas
 Fluid ReliabilityServices , R.L. Oubre ,"3310 Alice Street, Houston, TX, 77021",888-437-7872,hurtco.com,ROubre9836@aol.com,Construction,Texas
 Foster WheelerNorth AmericaCorp. , Eileen Mansfield ,"Perryville Corporate Park, 53 Frontage Rd., Clinton, NJ, 08809-4000",908-730-4000,fwc.com,fwenergy@fwc.com,Construction,New Jersy
 Francis Torq/Lite , Wes McVay ,"1914 Engineers Road, Belle Chasse, LA, 70037",504-394-1400,francistorque.com,wes@francistorque.com,Construction,Louisiana
 FreemyerIndustrialPressure , Mike Meisenhermer ,"7110 Burns Rd., Richland Hills, TX, 76118",800-826-8379,indpress.com,mikemise@indpress.com,Construction,Texas
" G & F TechnicalServices, Inc. ", Robert Major ,"P.O. Box 1114, OUT OF BUSINESS, Crosby, TX, 77532",281-328-1231,gftechnical.com,rmajor@gftechnical.com,Construction,Texas
" G.R Birdwell Construction, Inc. ", Brian Anderson ,"9720 Derrington, Houston, TX, 77064",713-875-8277,grbirdwell.com,brian.anderson@grbirdwell.com,Construction,Texas
 GAEDCKE EquipmentCorporation , Michelle Mott ,"P.O. BOX 99070, HOUSTON, TX, 77261-0070",713-674-4040,None,info@petropages.com,Construction,Texas
 Gardner DenverWater JettingSystems Inc , Suzanne Powell ,"12300 North Houston Rosslyn Rd., Houston, TX, 77086",281-448-5800,waterjetting.com,mktg.wjs@gardnerdenver.com,Construction,Texas
" GarnerEnvironmentalServices, Inc. ", Tim Ware ,"1717 W. 13th Street, Deer Park, TX, 77536",281-930-1200,garner-es.com,tware@garner-es.com,Construction,Texas
