supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,
 TG EngineeringInc. , Les Smyth ,"600-703 6th Avenue S.W., Calgary, Alberta, T2P 0T9",403-297-9290,None,lsmyth@tgeng.com,Environmental,
" The ARKEnterprises, Inc. ", Mimi Snyder ,"951B Locust Hill Circle, Belton, MO, 64012",816-779-5741,arkent.com,mimi@arkent.com,Environmental,
 The I.T. Group , Kevin Smith ,"213 Shadybrook Trail, Hendersonville, NC, 28739",828-698-0366,None,info@petropages.com,Environmental,
" The KeithCompanies, Inc. ", Bob Hurt ,"1100 Nasa Rd. 1 Ste. 200, Houston, TX, 77058",281-335-9811,univenergy.com,bhurt@univenergy.com,Environmental,
" Thermal ProcessingSolutions, Inc. ", W  Shefte ,"960 N. DuPage Ave., Lombard, IL, 60148",630 705 1912,tpshome.com,info@tpshome.com,Environmental,
" THERMAL TECH, INC ", JOSE APONTE ,"6828 HANGING MOSS ROAD, ORLANDO, FL, 32807",407-657-6360,None,info@petropages.com,Environmental,
 Thermo Scientific , LeAnn Tchoryk ,"1410 Gillingham Lane, Sugar Land, TX, 77478",713- 272 4516,thermo.com,info@petropages.com,Environmental,
" ThermTech, Inc. ", Brian Smith ,"808 Russell Palmer Road, Suite 101, Kingwood, TX, 77339",281-359-7555,thermtech.com,brians@thermtech.com,Environmental,
" Thomas Pump &Machinery, Inc. ", Mark Luke ,"2624 Delaware Avenue, Kenner, LA, 70062",504-466-8900,None,info@petropages.com,Environmental,
 Tierney Industrial& Environmental , Farley Tierney ,"332 Montcalm Street, Ticonderoga, NY, 12883",518-585-1044,None,tie@capital.net,Environmental,
 Tiger TanksOffshore RentalLTD. , Casey Crenshaw ,"816 Barbours Cut Blvd., LaPorte, TX, 77571",409-833-2665,modernusa.com,casey.crenshaw@modernusa.com,Environmental,
" TLV International,Inc. ", Carlos Marin ,"5645 Hillcroft Ave. suite 503, OUT OF BUSINESS, Houston, TX, 77036",713-435-0812,tlv.com,cmarin@tlv.com,Environmental,
 Topcor Companies , J. Baker ,"12025 Industriplex Blvd., Baton Rouge, LA, 70809",225-753-7076,topcor.com,jbaker@topcor.com,Environmental,
 Total Energy Corp. , Robert Armentano ,"711 Westchester Avenue, White Plains, NY, 10604",914-682-0181,totalenergy.com,info@totalenergy.com,Environmental,
" Total FilterTechnology, Inc. ", Mo Tremblay ,"P O Box 593, N. Chelmsford, MA, 1863",978-251-1251,totalfilter.com,moet@totalfilter.com,Environmental,
 Total Safety , ,"11111 Wilcrest Green, Suite 300, Houston, TX, 77042",713-353-7100,totalsafety.com,info@petropages.com,Environmental,
" Trane Company, The ", Jennifer Dufrene ,"530 Elmwood Park Boulevard, Harahan, LA, 70123",504-733-6789,trane.com,jjdufrene@trane.com,Environmental,
 TREVI ICOSCorporation , Arturo Ressi Di Cervia ,"250 Summer Street, 4th Floor, Boston, MA, 2210",617-345-9955,treviicos.com,aressi@treviicos.com,Environmental,
 Tri-StateEnvironmentalEquipment , Steve Manuel ,"P.O. Box 25486, Tempe, AZ, 85285-5486",800-684-1347,cleanitup.com,sales@cleanitup.com,Environmental,
 TriHydroCorporation , Keith Marcott ,"920 Sheridan Street, Laramie, WY, 82070",307-745-7474,trihydro.com,kmarcott@trihydro.com,Environmental,
None,None,None,None,None,None,Environmental,
 Triple BIndustrialServices , Diane Bledscoe ,"9700 Almeda Genoa Rd Suite 502, P. O. Box 752564, Houston, TX, 77075",713-946-0002,tbisllc.com,db@tbisllc.com,Environmental,
" Troy Boiler Works,Inc. ", Lou Okonski ,"2800 Seventh Avenue, Troy, NY, 12180-1587",518-274-2650,troyboilerworks.com,rokonski@troyboilerworks.com,Environmental,
" TSM Houston, Inc. ", Steve Tatum ,"8026 E. Hardy, P.  O. Box 111969, Houston, TX, 77093",713-691-5271,tsmhouston.com,statum@tsmhouston.com,Environmental,
None,None,None,None,None,None,Environmental,
" Turbodina, C.A.Rotating EquipmentEng. ", Luis Infante ,"4b Res Don Pedro, 4a Trv. LP Grandes, Caracas, Miranda, 1080",58.2.2679004,turbodina.com,turbodin@telcel.net.ve,Environmental,
 Twin Filter , Jop van Hattum ,"Zuiddijk 398, Zaandam, Netherlands, 1505HE",-555248,twinfilter.com,info@twinfilter.com,Environmental,
 Tytronics &Nametre , S.E. (Fred) Meyer ,"25 Wiggins Avenue, Bedford, MA, 1730",781-275-9660,tytronics.com,info@tytronics.com,Environmental,
 U.S.B.S.I , Andy  ,"1200 Payne Building C, Olathe, KS, 66061",888-828-8727,usbsi.com,Andy@usbsi.com,Environmental,
" UIC, Inc. ", Eric Mittlefehldt ,"1225 Channahon Road, Joliet, IL, 60434-0863",800-342-5842,None,UICSALES@UICINC.COM,Environmental,
 UltrafilterInternational , Gary Hooper ,"2253 Brisbayne Circle, Raleigh, NC, 27615",919-676-2003,ultrafilter.com,gwhoop@msn.com,Environmental,
 UltraTechInternational , Mario Cruz ,"9454-9 Philips Highway, Jacksonville, FL, 32256",904-292-1611,spillcontainment.com,mario@spillcontainment.com,Environmental,
 UltravioletSystems andEquipment , Greg Ellis or Bill Sparks ,"1310 Rayford, Bldg. F2,, Spring, TX, 77386",281-419-6112,ultravioletsystems.com,info@ultravioletsystems.com,Environmental,
 UnisorbCorporation , Joel Taylor ,"1310 Genoa, S. Houston, TX, 77587",713-943-3753,None,info@petropages.com,Environmental,
" Unitech of Alaska,Inc. ", George Lorenz ,"2401 Cinnabar Loop, Anchorage, Alaska, 99507",907-349-5142,net.unitech,unitech@alaska.net,Environmental,
 United FiltrationSystems , Henryk Fisher ,"6558 Diplomat Drive, Sterling Heights, MI, 48314",586-802-5561,ufs-hf.com,henryk@ufs-hf.com,Environmental,
" United IndustriesGroup, Inc. ", Alex Petri ,"P.O. Box 8009, Dept. TR, Newport Beach, CA, 92658-8009",949-759-3200,unitedind.com,info@unitedind.com,Environmental,
 United PumpingService Inc. , Bob Pina ,"14000 E. Valley Blvd., Industry, CA, 91746",626-961-9326,unitedpumping.com,bobpina@!unitedpumping.com,Environmental,
 United StatesServices Group , Donovan Weldon ,"HWY 408, P.O. Box 490, Orangefield, TX, 77639",409-735-9121,pneumaticindustrial.com,donovan@exp.net,Environmental,
 UniversalAnalyzers Inc. , Ted Barben ,"1771 South Sutro Terrace, Carson City, NV, 89706",775-883-2500,universalanalyzers.com,tbarben@universalanalyzers.com,Environmental,
" Upright, Inc. ", Geroge Katzenberger ,"10715 Kahlmeyer Drive, St. Louis, MO, 63132",314-426-3336,None,upright@primary.net,Environmental,
 URS Corporation , Dee Hutchison ,"9400 Amberglen Boulevard, Austin, TX, 78729-1100",512-454-4797,urscorp.com,info@petropages.com,Environmental,
 US FILTER /Wallace & Tiernan , Gary Shaeffer ,"2 Milltown  Court, Union, NJ, 7083",908.851.6919,usfwt.com,gschaeffer@usfwt.com,Environmental,
 USA EnvironmentalSystems , Kevin Nowlin ,"P.O. Box 87625, Houston, TX, 77287-7625",713-477-4808,None,info@petropages.com,Environmental,
 USFilter , Jessica Mattmiller ,"301 W. Military Rd., Rothschild, WI, 54474",800-826-1476,usfilter.com,hpi@usfilter.com,Environmental,
 USFilter , Jessica Mattmiller ,"301 W. Military Rd., Rothschild, WI, 54474",800-826-1476,usfilter.com,hpi@usfilter.com,Environmental,
" Valtronics, Inc. ", Ken Thompson ,"P.O. Box 490, Ravenswood, WV, 26164",304-273-5356,None,info@petropages.com,Environmental,
 Van den NoortInnovations BV , Johann H.R. Van den Noort ,"Zilverschoon 47, Kampen, Overijssel, 8265 HE",31-38-3321104,noort-innovations.nl,info@noort-innovations.nl,Environmental,
 VeoliaEnvironmentalServices , Whitney Jeanminette ,"1980 North Hwy 146, LaPorte, TX, 77572",713-307-2100,veolia.com,whit.jeanminette@veoliaes.com,Environmental,
 Veotec Americas , Peter Valsler or Mike Handley ,"1311 Larc Industrial Blvd., Burnsville, MN 55337",952.406.1393,veotecamericas.com,sales@veotecamericas.com,Environmental,
 VerdyolInternational AG , Allan Lloyd ,"Baseistrasse 2, Nenzlingen, 4224",41-61-741-22-44,verdyol.com,verdyol@magnet.ch,Environmental,
" VibraSys, Inc. ", Stephen J. Reimann ,"9C Mahan Street, West Babylon, New York, 11704",516-643-5529,vibrasys.com,vibrasys@aol.com,Environmental,
 VictoryTransportationSystems Inc. , GREG NELSON ,"2055 SILBER #110, Houston, TX, 77055",713-682-8900,None,info@petropages.com,Environmental,
" Voest-AlpineIndustries, Inc ", James Campbell ,"Southpoint Industrial Park, 501 Technology Drive, Canonsburg, PA, 15317",724-514-8500,vai.at,etd@vai-inc.com,Environmental,
 Waid AndAssociates , Jay R Hoover ,"14205 Burnet Road, Suite 600, Austin, TX, 78728",512-255-9999,waid.com,waid@waid.com,Environmental,
" WakefieldAssociates, Inc. ", David Wakefield ,"1741 W. Alabama St., Houston, TX, 77098",713-520-5083,wakefield-assoc.com,Sales@wakefield-assoc.com,Environmental,
 Wallace Industries , Scott Hamm ,"P.O. Box 1281, OUT OF BUSINESS, Port Lavaca, TX, 77979",512-552-7882,wilsonline.com,info@petropages.com,Environmental,
" WalshEnvironmental,Inc. ", Lee Day ,"727 Highlandia Drive, Baton Rouge, LA, 70810",225-751-4200,None,leeday@walshcomp.com,Environmental,
" Waseco, A Divisionof CrownEnterprises ", Ross Campesi Jr. ,"52410 Clark Road, P.O. Box 120, White Castle, LA, 70788",504-545-3970,None,info@petropages.com,Environmental,
 Waste ControlServices , Cal Kailasam ,"1610 Sheldon Road, Channelview, TX, 77530",713-457-6494,None,info@petropages.com,Environmental,
 Waste Management , Mike Griffis ,"1980 N. Highway 146, LaPorte, TX, 77571",713-307-2100,wm.com,info@petropages.com,Environmental,
 Waste-TechServices , George Taniwaki ,"800 Jefferson County Pkwy, Golden, CO, 80401",303-279-9712,None,info@petropages.com,Environmental,
" Wastecorp Inc.,(PUMP DIVISION) ", Marc Johnson ,"235 Braen Ave, Wyckoff, NJ, 7481",888-829-2783,wastecorp.com,wastecorp@globalserve.net,Environmental,
 Wastecorp.Inc./WastewaterDivision , Dan Starr ,"235 Braen Ave., Wyckoff, NJ, 7481",201-445-2882,wastecorp.com,wastcorp@globalserve.net,Environmental,
" Water Weights,Inc. ", Robin E. Baxter ,"45 Block House Lane, Norwell, MA, 2061",781-659-6897,waterweights.com,info@petropages.com,Environmental,
" Water Works, Div.of Polydisc, Inc. ", Bruce Younker ,"P.O. Box 122, 501 Foote Street, Crown Point, Indiana, 46308",219-663-8210,airtowater.com,bruce@tsrcom.com,Environmental,
" Waterfront Group,Inc. ", Rick Bordges ,"P.O. Box 140312, Irving, TX, 75014",972-401-1445,None,OnWater@airmail.net,Environmental,
" Watt Equipment,Inc. ", Bryan Watt ,"2121 S. Columbia Avenue Suite 410, Tulsa, OK, 74114",918-744-5588,wattequipment.com,watt@compuserve.com,Environmental,
 WeatherfordPipeline &Specialty Service , ,"7721 Pinemont, Houston, TX, 77040",713-580-9700,weatherford.com,info@petropages.com,Environmental,
 WEC EnvironmentalServices , James Whitcomb ,"11203 Darryl Drive Suite A, Baton Rouge, LA, 70808",225-275-7966,None,wecservices@earthlink,Environmental,
 Wedeco , Tracey Trimble ,"14125 South Bridge Circle, South Point Business Park, Charlotte, NC, 28273",704-409-9785,pci-wedeco.com,ttrimble@wedeco.us,Environmental,
 Wesco Screen Co , Al Shirley ,"14309 Sommermeyer Rd, Houston, TX, 77041",713-939-1830,None,info@petropages.com,Environmental,
 Western Gauge &Instruments Ltd. , Tom Boot ,"Bay 14, 4063-74th Ave. S.E., Calgary, Albeta, T3C 2H9",403-236-4888,None,WGI@Nucleus.com,Environmental,
 WESTERN TECHNOLOGYINC , TAMBRA FONTES ,"18934 DES MOINES AVE SOUTH, SEATTLE, WA, 98148",800-654-5483,wtramlights.com,tambra@wtramlights.com,Environmental,
" WIN-WAY, INC. ", Claude Hartdegen ,"709 South 16th St., Bought out, LaPorte, Texas, 77590",281-470-1703,None,info@petropages.com,Environmental,
" Wingo EquipmentCompany, Inc. ", Mike Kuvent ,"25222 Glen Loch Drive, The Woodlands, TX, 77380-2471",281-367-9000,None,info@petropages.com,Environmental,
 WinstonManufacturing Corp , Bill Layne ,"P O Box 6440, Longview, TX, 75608",903-759-3455,None,info@petropages.com,Environmental,
 Woolpert LLP ," Freddy Valdivia, CMS/GIS ","409 East Monument Avenue, Dayton, OH, 45402-1261",937-461-5660,woolpert.com,freddy.valdivia@woolpert.com,Environmental,
 Xklen Corporation , ,"6214 Beverly Hills, Houston, TX, 77080",713-266-2727,xklen.com,info@xklen.com,Environmental,
 XServ Inc. , Larry Brewer ,"3640 W. 12th St., OUT OF BUSINESS, Houston, TX, 77008",713-882-0177,xservinc.com,larry.brewer@xservinc.com,Environmental,
 YoungEnvironmentalConsulting &Product , Bob Young ,"233 Downy Branch Ct., Jacksonville, FL, 32225",904-220-6655,strategicenvproducts.com,byoung3@compuserve.com,Environmental,
" Zeeco, Inc. ", Judy Morency ,"P.O. Box 52165, Tulsa, OK, 74152",918-258-8551,zeeco.com,judy_morency@zeeco.com,Environmental,
" Zero DischargeTechnologies, Inc. ", Michael Marshall ,"24900 Pitkin Road,  Suite 230, The Woodlands, TX, 77386",281-298-6881,None,info@petropages.com,Environmental,
 Abbey GroupCompanies , Bernard Glover ,"400 East Tioga Street, Houston, TX, 19134",215-739-9960,abbeycompanies.com,phughes@abbeycompanies.com,Oil and Gas,
" Advanced FluidSystems,Incorporated ", Joan Hunter ,"15019 N Brentwood, Channelview, TX, 77530",281-452-4867,advancedfluids.com,JoanH@advancedfluids.com,Oil and Gas,
 Advanced MarineInnovationTechnology , Ramsey Martin ,"Haslar Marine Technology Park,Haslar Rd., Gosport, PO 12 2AU",+44(0)23 92603933,advancedmarineinnovation.com,admin@advancedmarineinnovation.com,Oil and Gas,
 Allbutt MiningSupplies , Cliff Allbutt ,"146 Collegiate Street, Winnipeg, Manitoba, R3J-1T8",204-885-2513,allbuttminingsupplies.com,callbutt@home.com,Oil and Gas,
 Alpha LeakDetection &Pipeline Services , Dana Colquit ,"304 Meadow Lane, Kemah, TX, 77565",281-334-5865,alphaleak.com,dana.colquit@alphaleak.com,Oil and Gas,
 Alta PetroInternational , Venkataraman Mani ,"A-283,Okhla Industrial Area Phase - 1, New Delhi, Delhi, 110020","+91-11-6813183,",None,altaoil@usa.net,Oil and Gas,
" Ameri-SourceInternational,Inc. ", Thomas Diener ,"300 Mt. Lebanon Blvd, Pittsburgh, PA, 15234",412-831-9400,ameri-source.com,contact@ameri-source.com,Oil and Gas,
 AmericanEfficiencyServices (AES) , Dyron Lawson ,"9025 Chevrolet Drive, Suite F, Ellicott City, MD, 21042",877-816-9081,americanefficiency.com,dlawson@americanefficiency.com,Oil and Gas,
" AmericanUnderwaterServices, Inc. ", Anthony DiIulio ,"P.O. Box 126216, Fort Worth, TX, 76126",817-377-8512,americanunderwaterservices.com,anthony@americanunderwaterservices.com,Oil and Gas,
" Aquor, Inc. ", Jan Hogeveen ,"6880 Winchester Circle, Boulder, Colorado, 80308",303-527-5302,Aquor.com,JHogeveen@Aquor.com,Oil and Gas,
 Arctic Valves , Torch R. Bowers ,"252 Kupfer Drive, Hemet, CA, 92544",909-927-8836,arcticvalves.com,valves@gte.net,Oil and Gas,
 Arnett & BurgessOil FieldConstruction , Mona Krieger ,"715-5th Avenue S.W., Suite 620, Calgary, AB, T2P 2X6",403-265-0900,abpipeliners.com,abpipeliner@abpipeliners.com,Oil and Gas,
 ASEP USA , Michael Cole ,"1640 Brittmoore Road # B, Houston, TX, 77043-3146",713-932-7772,asepgroup.com,asep@asepusa.com,Oil and Gas,
 Atlas Instruments& Supply Co. , Christine Rios ,"4802 Renies Court, Needville, TX, 77461",281-342-2128,atlasinstruments.com,christine@atlasinstruments.com,Oil and Gas,
 ATSEA Distribution , Nels Ladouceur ,"4694 Holly Park Place, Delta, BC, V4K 4T8",604-940-9945,netfirms.com,ladouceur@telus.net,Oil and Gas,
" B & R Industries,Inc. ", Richard Bearden ,"200 Louise St., P.O. Box 87, Navasota, TX, 77868",281-356-2612,B-Rind.com,Engineering@B-Rind.com,Oil and Gas,
 Baker PetroliteSureCleanSMServices , Carl Weaver ,"12645 West Airport Blvd., Sugar Land, TX, 77478",281-798-6128,bakerhughes.com,carl.weaver@bakerpetrolite.com,Oil and Gas,
 Bay Ltd. , Robert Blair ,"1414 Valero Way, Corpus Christi, TX, 78409",361-693-2100,bayltd.com,blairr@bayltd.com,Oil and Gas,
" Beerman Precision,Inc. ", Marc Beerman ,"4206 Howard Avenue, New Orleans, LA, 70125",504-207-6000,beerman.com,tools@beerman.com,Oil and Gas,
" Bendco, Inc. ", Amanda Molina ,"801 Houston Avenue, Pasadena, TX, 77502",713-473-1557,Bendco.com,Amanda@Bendco.com,Oil and Gas,
" Bi-Con Services,Inc. ", Denny Patterson ,"10901 Clay Pike Road, Derwent, OH, 43733",740-685-2542,bsicos.com,dpatterson@bsicos.com,Oil and Gas,
 BJ PipelineCleaners , Harold Fisher ,"414 Pinckey, P.O. Box 8898, Houston, TX, 77249-8898",713-224-1105,bjservices.com,hfisher@nowsco.com,Oil and Gas,
 BJ Process andPipeline Services , Greg Salerno ,"P.O. Box 61110, Dubai, United Arab Emi, 61110",713-895-5459,bjservices.com,gsalerno@bjservices.com,Oil and Gas,
 BJ Services Co. , Bruce Bricco ,"5005 Mitchelldale, Suite 250, Houston, TX, 77092",713-683-3408,bjservices.com,bbricco@bjservices.com,Oil and Gas,
" Blind Specialists,LLC ", Jason Cloyd ,6301 N Twin City Hwy,409.729.2994,blindspecialist.net,sales@blindspecialist.net,Oil and Gas,
 BLR Pumps , Eddy Perrodin ,"3059 Grand Point Hwy, Breaux Bridge, LA, 70517",800-786-7306,stainlesssteelpumps.net,eddyp@att.net,Oil and Gas,
 Brown Book Shop -Technical , Sales Staff ,"1517 San Jacinto, Houston, TX, 77002",713-652-3937,brownbookshop.com,info@brownbookshop.com,Oil and Gas,
 BuTech PressureSystems , Robert J. Maughn ,"4928 Pittsburgh Avenue, Erie, PA, 16509",814-833-4904,butech-valve.com,hq@butech-valve.com,Oil and Gas,
" CarolinaIndustrial Tools,Inc. ", Gordon Haymond ,"10825 Texland Blvd., Charlotte, NC, 28273",704-588-4490,citools.com,CITools@CITools.com,Oil and Gas,
" Central HelicopterService, Inc. ", ,"8913 Paul B. Koonce  St., Houston, TX, 77061",713-644-5900,chs1.com,dwk@chs1.com,Oil and Gas,
" ChallengerInternational,Inc. ", Ronald Coupe ,"12811 FM 529, Houston, TX, 77041",713-896-4397,challengerintl.com,koch@challengerintl.com,Oil and Gas,
 Challenger ProcessSystems , Sales  ,"21249 Hwy. 110 South, Troup, TX, 75789",903-839-7291,challengerps.com,info@challengerPS.com,Oil and Gas,
 ChallengerServices , Andy Solomon ,"5103 S. Sheridan #743, Tulsa, OK, 74145",918-384-0055,challengersvcs.com,challengersvcs@sbcglobal.net,Oil and Gas,
 Cherokee Crc LLC , Jonathan Dale ,"916 W 23rd St, Tulsa, OK, 74107",918-582-9110,cherokee-crc.com,info@cherokee-crc.com,Oil and Gas,
" Clean HarborsIndustrialServices, Inc. ", Chris Boase ,"802 Seaco Court  Deerpark, TX 77536",281.478.2610,cleanharbors.com,boase.chris@cleanharbors.com,Oil and Gas,
 Clipper EnergySupply Co. , Jeffrey Casey ,"3355 West Alabama Ste. 920, Houston, TX, 77098",713-965-0006,clipperenergy.com,jcasey@clipperenergy.com,Oil and Gas,
 Cole-ParmerInstrument Company , Mary Blase ,"625 East Bunker Court, MS 18, Vernon Hills, IL, 60061-1844",847-327-5860,coleparmer.com,info@coleparmer.com,Oil and Gas,
 Collins-Oliver Inc , Wanda Donavan ,"9821 South Perdue Ave, Baton Rouge, LA, 70814",800-247-5766,collinsoliver.com,info@petropages.com,Oil and Gas,
 Compliance Testing& Technology , Charles Eigsti ,"7509 Belfast Lane, Knoxville, TN, 37931",800-826-5670,ctandt.net,ceigsti@ctandt.net,Oil and Gas,
 CompressionOnline.com , David Jetelina ,"5090 Richmond Ave. #400, Houston, TX, 77042",713-825-2372,CompressionOnline.com,manager@compressiononline.com,Oil and Gas,
 CONSTRUCCIONESROBICA , Jorge Riera ,"P.O. Box 25, Anaco, Anzoategui, 6003",58-282-4252993,robica.com,rieraj@cantv.net,Oil and Gas,
 ContinentalIndustrial Supply , Paul Boyer ,"& Service Company, Inc., 83 Galaxy Blvd., Unit #13, Toronto, Ontario, M9W5X6",416-675-7629,cissco.com,paul@cissco.com,Oil and Gas,
" ControlComponents, Inc. ", Rob Bodine ,"22591 Avenida Empresa, Rancho Santa Margarita, CA, 92688",949-888-4123,ccivalve.com,bcr@ccivalve.com,Oil and Gas,
" CopelandIndustries, Inc. ", John Simmons ,"6841 Ave. U, Houston, TX, 77011",713-926-7481,copelandballvalves.com,admin@copelandballvalves.com,Oil and Gas,
" Corpac SteelProducts, Corp. ", Vincent Rodriguez ,"20801 Biscayne Blvd., Suite 502, Miami, FL, 33180",305-933-8599,corpacsteel.com,vicente@corpacsteel.com,Oil and Gas,
" Corrpro Companies,Inc. ", James Lary ,"1090 Enterprise Drive, Medina, OH, 44256",330-723-5082,corrpro.com,jlary@corrpro.com,Oil and Gas,
" CT Industries,Inc. ", Butch Stocker ,"15405 Kurt Road, Humble, TX, 77396",281-441-3146,ctindustries.com,bstocker@flash.net,Oil and Gas,
 Current EDM Inc. , John Foster ,"2577 Leghorn Street, Mountain View, CA, 94043",650-966-9676,currentedm.com,info@currentedm.com,Oil and Gas,
 Dale Weaver Inc , John McMartin ,"967 Highway 20 North, Worland, Wyoming, 82401",307-347-6111,daleweaver.com,jmcmartin@daleweaver.com,Oil and Gas,
 Decoking DescalingTechnology Inc. , Tony Connelly ,"#2-4873-46, Lacombe, Alberta, T4L-2B2",403-346-7444,None,info@petropages.com,Oil and Gas,
 Deep Down Inc. , Steve Pahls ,"8827 W. Sam Houston Pkwy, N., Suite 100, Houston, TX, 77",281-517-5000,deepdowninc.com,info@deepdowninc.com,Oil and Gas,
 Derrick EquipmentCo. , ,"15630 Export Plaza Drive, Houston, TX, 77032",281.590.3003,derrickcorp.com,decinfo@derrikequipment.com,Oil and Gas,
 Derrick GmbH & Co.KG , ," 29683 Fallingbostel, Bockhorner  Weg 6, Germany",281.957.0048,derrickinternational.com,jmuhl@derrickinternational,Oil and Gas,
 Digilube SystemsInc. , Rocky Willis ,"545 South Main Street, Springboro, OH, 45066",513-748-2209,digilube.com,rocky@digilube.com,Oil and Gas,
 DNV Houston , Colleen Stoker ,"1400 Ravello, Katy, TX, 77449",281-732-8587,dnv.com,colleen.stoker@dnv.com,Oil and Gas,
 DresserEngineeringCompany , Connie Barton ,"1437 South Boulder Ave., Suite 1500, Tulsa, OK, 74119",918-382-2200,dressereng.com,sales@dressereng.com,Oil and Gas,
 Dresser-RandCompressors , ,"1101 Cavalier Boulevard, Chesapeake, VA, 23323",757-487-6000,dresser-rand.com,info@dresser-rand.com,Oil and Gas,
 DRILLING EQUIPMENT& SERVICES COMPANY , E.C. COCHONNEAU ,"WORKSHOP C/12, AJMAN FREE ZONE AJMAN, P.O. BOX 41773, ABU DHABI, ABU DHABI, 41773",-4454075,desco-intl.com,e.c@desco-intl.com,Oil and Gas,
 E & E Service &Supply Inc. , Cindy Bumpus ,"3501 Brazos Ave, Odessa, TX, 79764",915-367-7229,angelfire.com,eeserv@lx.net,Oil and Gas,
 ELNUSA WORKOVERSERVICES , Islam Djafar ,"Graha ELNUSA Flr 8th, Jl. T.B. Simatupang Kav 1B, Jakarta, DKI Jakarta, 12560",62-21-78831210,co.id,islam@elnusa.co.id,Oil and Gas,
" EN-FAB, INC. ", Al Venuti ,"3905 JENSEN DRIVE, HOUSTON, TX, 77026-3200",713-225-4913,None,info@petropages.com,Oil and Gas,
 Enduro PipelineServices Inc. , Bill Davis ,"5000 S.45th West Ave., P.O. Box 3489, Tulsa, Oklahoma, 74101-3489",918-446-1934,enduropls.com,info@petropages.com,Oil and Gas,
 Enerflex SystemsLtd. , Jamie  Plosz ,"1331 Macleod Trail SE, Suite 904, Calgary, AB, T2G OK3",403-387-6377,enerflex.com,jplosz@enerflex.com,Oil and Gas,
 EnerSysCorporation , Russel Treat ,"P.O. Box 131525, Houston, TX, 77219",713-963-8829,enersyscorp.com,rwtreat@enersyscorp.com,Oil and Gas,
 EngineeringDynamicsIncorporated , Troy Feese ,"16117 University Oak, San Antonio, TX, 78249",210-492-9100,engdyn.com,troy_feese@engdyn.com,Oil and Gas,
 EnsourceCorporation , Steve Thompson ,"P.O. Box 691005, Houston, TX, 77269",713-896-8309,ensourcecorp.com,ensource@ensourcecorp.com,Oil and Gas,
 Equipment ServiceCompany , Robert Mitlo ,"6215 Evergreen, Unit E, Houston, TX, 77081",832-368-0833,prodigy.net,esco4service@prodigy.net,Oil and Gas,
" Excel CorporacionIndustrial, Sa DeCv ", Antonio De Nova ,"Baltimore 92/Col Noche Buena, Mexico City, DF, 3720",525-598-2741,None,excelco@df1.telmex.net.mx,Oil and Gas,
 Excel TurbineServices Ltd. , Jim McHardy ,"Greetwell Place, 2 Limekiln Way, Lincoln, Lincs, LN2 4US",0-1522-539302,excelturbine.com,jim.mchardy@excelturbine.com,Oil and Gas,
 Fike Corporation , Nancy Graham ,"704 South 10th Street, P O Box 610, Blue Springs, MO, 64015",816-229-3405,fike.com,marketing@fike.com,Oil and Gas,
 FLOW CONTROLSUPPLIES CANADAINC. , KAMAL ,MISSISSAUAGA ON,647.274.3000,fcscinc.com,fcscinc@gmail.com,Oil and Gas,
 FLOW CONTROLSUPPLIES CANADAINC. , KAMAL ,MISSISSAUAGA ON,647.274.3000,fcscinc.com,fcscinc@gmail.com,Oil and Gas,
 FLOW CONTROLSUPPLIES CANADAINC. , KAMAL ,MISSISSAUAGA ON,647.274.3000,fcscinc.com,fcscinc@gmail.com,Oil and Gas,
 FLOW CONTROLSUPPLIES CANADAINC. , KAMAL ,MISSISSAUAGA ON,647.274.3000,fcscinc.com,fcscinc@gmail.com,Oil and Gas,
 FLOW CONTROLSUPPLIES CANADAINC. , KAMAL ,MISSISSAUAGA ON,647.274.3000,fcscinc.com,fcscinc@gmail.com,Oil and Gas,
" Fluid Systems,Inc. ", Pete Hoffmann ,"2808 Engineers Road, Belle Chasse, Louisiana, 70037",504-393-1804,fsishakers.com,sales@fsishakers.com,Oil and Gas,
 FMC MeasurementSolutions , Kathy Knight ,"1602 Wagner Ave., Erie, PA, 16514",814-898-5365,measurementsolutions.com,kathy_knight@fmc.com,Oil and Gas,
 FreemyerIndustrialPressure , Mike Meisenhermer ,"7110 Burns Rd., Richland Hills, TX, 76118",800-826-8379,indpress.com,mikemise@indpress.com,Oil and Gas,
" Galvotec Alloys,Inc. ", James Lenar ,"6712 S. 36th Street, McAllen, TX, 78503",956-630-3500,galvotec.com,anodes@galvotec.com,Oil and Gas,
 Gas DynamicsCorporation , Robert Engberg ,"1980 160th Avenue, Mora, MN, 55051",320-679-1220,gasdynamicscorp.com,rengberg@aol.com,Oil and Gas,
 GAURAV ASSOCIATES , Gaurav Aggarwal ,"B - 62, SARVODAYA ENCLAVE, NEW DELHI, NEW DELHI, 110017",-6854487,None,gauravaggarwal@hotmail.com,Oil and Gas,
 GAYESCO , Scott Coots ,"2859 WESTSIDE DRIVE, PASADENA, TX, 77502-4823",713-941-8540,gayesco.com,mstrebel@gayesco.com,Oil and Gas,
" Gekko, Inc. ", Eric Gadin ,"2615 Waugh Drive, Suite 117, Houston, TX, 77006",713-527-9912,gekko-inc.com,gekko@gekko-inc.com,Oil and Gas,
 Gemoco IndustrialValve Products , Jerry Filce ,"P.O. Box 7036, Houma, LA, 70361",800-727-2877,gemtrim.com,gemocoivp@weatherford.com,Oil and Gas,
